"gene","celltype","sample","mean_logexpr","pct_expr"
"Aqp4","OPC","Sample2",0.0226,0.0172
"Gja1","OPC","Sample2",0.0237,0.0172
"Cldn5","Pericytes","Sample2",0,0
"Ocln","Pericytes","Sample2",0,0
"Tjp1","Pericytes","Sample2",1.4141,0.5111
"Jam2","Pericytes","Sample2",0,0
"Cgn","Pericytes","Sample2",0,0
"Esam","Pericytes","Sample2",0.2679,0.1111
"Mfsd2a","Pericytes","Sample2",0,0
"Plvap","Pericytes","Sample2",0,0
"Cav1","Pericytes","Sample2",0,0
"Slc2a1","Pericytes","Sample2",0.0611,0.0222
"Abcb1a","Pericytes","Sample2",0,0
"Abcg2","Pericytes","Sample2",0.3339,0.1333
"Slco1a4","Pericytes","Sample2",0.0581,0.0222
"Vcam1","Pericytes","Sample2",0,0
"Icam1","Pericytes","Sample2",0,0
"Vwf","Pericytes","Sample2",0,0
"Angpt2","Pericytes","Sample2",0.0449,0.0222
"Pdgfrb","Pericytes","Sample2",2.129,0.7556
"Rgs5","Pericytes","Sample2",1.2114,0.4667
"Kcnj8","Pericytes","Sample2",0.1947,0.0889
"Anpep","Pericytes","Sample2",0.2574,0.1111
"Vtn","Pericytes","Sample2",1.5767,0.5778
"Notch3","Pericytes","Sample2",2.2275,0.7556
"Aqp4","Pericytes","Sample2",0.044,0.0222
"Gja1","Pericytes","Sample2",0,0
