"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Fam210a1",0.000220923703025242,0.747154239950564,0.041,0.138,1,"10","Fam210a"
"Arcn12",0.000221457243320076,0.672829341286375,0.112,0.256,1,"10","Arcn1"
"Pigg1",0.000221569021587234,0.669798123341879,0.056,0.163,1,"10","Pigg"
"Slc26a71",0.000222035919662807,5.10516351212162,0.03,0.007,1,"10","Slc26a7"
"Nsmaf1",0.000222655870024192,0.875800721941744,0.183,0.38,1,"10","Nsmaf"
"N4bp11",0.000223206615096535,1.09938733772847,0.122,0.274,1,"10","N4bp1"
"Als24",0.000223449087031842,0.482921880400134,0.117,0.263,1,"10","Als2"
"Nf21",0.000224878843561254,0.857173868104471,0.122,0.271,1,"10","Nf2"
"Stx172",0.00022646597440999,0.876303182151805,0.112,0.254,1,"10","Stx17"
"Emc33",0.000226762092360842,0.776916515941223,0.051,0.155,1,"10","Emc3"
"Pgm23",0.000227779466028471,0.173506513983791,0.02,0.103,1,"10","Pgm2"
"Ints91",0.000229214803975504,0.872079398199145,0.102,0.239,1,"10","Ints9"
"Cables11",0.000229821704921308,0.388131163862282,0.117,0.257,1,"10","Cables1"
"Kansl32",0.000230423897715356,0.876693718385175,0.122,0.272,1,"10","Kansl3"
"Ctdp11",0.000232954119320489,1.07241210883672,0.066,0.18,1,"10","Ctdp1"
"Tmem1001",0.000233853672681445,3.27687923150108,0.03,0.007,1,"10","Tmem100"
"Slc7a6os1",0.000235429351625462,0.343592285323322,0.041,0.137,1,"10","Slc7a6os"
"Nckipsd3",0.000236468695225065,0.247079694135479,0.02,0.102,1,"10","Nckipsd"
"Snx18",0.000242418968274363,0.506946439677985,0.051,0.153,1,"10","Snx18"
"Tollip",0.000242749976296941,0.435211309359179,0.025,0.111,1,"10","Tollip"
"Paip13",0.000243068775048637,0.977484150468506,0.076,0.196,1,"10","Paip1"
"Nck23",0.000243179928348406,1.35879746250329,0.173,0.36,1,"10","Nck2"
"Tyk23",0.000243373656678776,0.272373881456412,0.025,0.111,1,"10","Tyk2"
"Trmt10b1",0.000244247416954044,0.597112751727487,0.03,0.12,1,"10","Trmt10b"
